review,date,label
tốt,"May 02, 2024",1
càng_ngày_càng tệ momo có chức_năng ưu_việt nhất là nạp tiền miễn_phí thì bỏ không cho nữa chán không muốn dùng luôn,"May 02, 2024",0
báo cập_nhật cmnd gắn chip mà quét nfc thì cứ báo lỗi app vneid thì quét phà phà đã là app về tiền_bạc thì nên ổn_định một_chút kéo có ngày bị hack bay sạch tiền,"May 02, 2024",0
rất uy_tín,"May 02, 2024",1
quá thất_vọng đổi điện_thoại đăng_nhập không được,"May 02, 2024",0
một trải_nghiệm thật là tệ khi phải sử_dụng ví momo khuyên là đừng nên dùng cảm_ơn,"May 02, 2024",0
thật_sự trải_nghiệm về momo đáng thất_vọng không thực_hiện đúng thứ_tự ưu_tiên nguồn tiền thanh_toán tự_động sử_dụng ví trả sau có âm_mưu bẫy tin dụng với khách_hàng hay không thì chưa biết thanh_toán nợ ví trả sau thì thấy vẫn báo nợ mặc_dù đã trừ vào tài_khoản yêu_cầu hỗ_trợ thì gần tròn tuần làm_việc nhưng không có kết_quả có_lẽ nên nghĩ đến vn pay hoặc zalo pay viettel pay hoặc vnpt pay nếu có thang không hài_lòng thì tôi chấm tối_đa không hài_lòng,"May 02, 2024",0
chất_lượng rất tốt positive,"May 02, 2024",1
momo chỉ nên để vài trăm đến tr để_dành nạp tiền đt thanh_toán mấy cái nhỏ nhỏ thôi cần chuyển tiền lớn thì phí quá cao tr hết hơn tiền phí quá mắc chơi ngu lần rồi thôi lần sau để tiền trong ngân_hàng cho lành,"May 02, 2024",0
rất hài_lòng,"May 02, 2024",1
cung nhanh le nha mn,"May 02, 2024",1
vừa cài_đặt xong bắt cập_nhật,"May 02, 2024",0
áp mo mo bảo_mật tiền rất tốt nha positive positive,"May 02, 2024",1
đăng_ký xong trả thấy nhận được cái gì lừa_đảo,"May 02, 2024",0
giao_dịch suốt ngày thất_bại không hiểu mở ví làm gì đã thế các ưu_đãi thì ít giới_hạn,"May 02, 2024",0
app như cái negative xác_thực otp đéu gửi mã đéu liên_hệ được tổng_đài bố mày mà rút hết tiền về thẻ thì tao delete cmm luôn,"May 01, 2024",0
ok,"May 01, 2024",1
tôi thấy rất uy_tín tôi sẽ sử_dụng nó,"May 01, 2024",1
tốt,"May 01, 2024",1
ok,"May 01, 2024",1
momo lỗi tùm_lum hết,"May 01, 2024",0
tốt,"May 01, 2024",1
bị lỗi chuyển tiền ngày chưa hết app như qq,"May 01, 2024",0
dùng thì lag xác_minh thì mãi duyệt xác_minh mặt rồi đợi mấy ngày đợi thêm mấy ngày mới thêm được ngân_hàng dm app rác uphạn sử_dụng app như căc chuyển được tiền bị treo luôn,"May 01, 2024",0
ngon chắc thế,"May 01, 2024",1
gói momo xả_láng không giới_hạn data mà xài đúng nửa ngày xong thông_báo hết dung_lượng tốc_độ cao là sao trong khi vừa đăng_kí vào lúc sáng thì tối đã không dùng được nữa huỷ đăng kig gói thì bảo sai cú_pháp positive không huỷ được thì tự_động gia_hạn chán,"May 01, 2024",0
ok,"May 01, 2024",1
đm nạp tiền các thứ vào rồi giờ không nhận được quà,"May 01, 2024",0
positive positive positive positive positive,"May 01, 2024",1
nhanh gọn bảo_mật ổn,"May 01, 2024",1
chuyen tien rat nhanh rat huu it,"May 01, 2024",1
momo như negative chuyển tiền cũng mất phí thì chịu lên cho sao,"May 01, 2024",0
ok,"May 01, 2024",1
ok tiện_lợi khi ta hết tiền positive,"May 01, 2024",1
tệ_hại không chức_năng xoá thư hàng_loạt,"May 01, 2024",0
ok ok ok,"May 01, 2024",1
ok,"May 01, 2024",1
phế_phẩm không có ngân_hàng không dùng được vậy dùng ngân_hàng luôn chứ cần chi nửa,"May 01, 2024",0
không để tình_trạng thiếu thông_tin liên_quan trực_tiếp đến giao_dịch với các điểm du_lịch,"May 01, 2024",1
hello momo,"May 01, 2024",1
kêu quét thẻ căn_cước công_dân mà quét hết lại bảo hình_ảnh mờ ủa là sao trời,"May 01, 2024",1
ok,"May 01, 2024",1
đến chổ khiếu_nại mà củng không có một bộ_phận tiếp_nhận khiếu_nại của khách_hàng tiền thì giam của khách rồi bảo do mạng của khách rồi do này kia rồi bảo do ngân_hàng trong khi gọi ngân_hàng ngân habfg bảo không bị bảo_trì gì hết với ngân_hàng là bên nhận tiền nên không có quyền xác_nhận giao_dịch gì momo đả chuyển qua ngân_hàng thì tiền tự_động cập_nhật vào tài_khoản đến cái việc như_vậy còn giải_quyết như_vậy mà khách_hàng gửi tiền tỷ trong đó thì mất_trắng hay gì,"May 01, 2024",0
ví điện_tử này không nên dùng chuyển tiền lâu_lâu bị lỗi ai mà cần gắp tiền là xui luôn từ nay không dùng momo nữa,"May 01, 2024",0
ok,"May 01, 2024",1
rất ok,"April 30, 2024",1
ok,"April 30, 2024",1
tuyệt,"April 30, 2024",1
âm_thầm trừ tiền từ tài_khoản ngân_hàng của khách khi có bên thứ yêu_cầu google service mà không hề hỏi ý_kiến kh không cho khách huỷ liên_kết tài_khoản ngân_hàng thật vô_lý và vô_trách_nhiệm việc bảo về kh,"April 30, 2024",0
tốt mak vì trả sao khó đánh ký qua,"April 30, 2024",1
ok,"April 30, 2024",1
cước hơi mắc xíu,"April 30, 2024",1
đm hoàn tiền đồng kêu trúng trúng cái đùi bầu nek không phải vì ngân_hàng làm khó_dễ đồ nào tải app này cho mệt ai mở ví trả sau thì trừ phí vcl,"April 30, 2024",0
rất ok,"April 30, 2024",1
ô_kê,"April 30, 2024",1
nhà phát_hành còn không quan_tâm đến momo nữa phải không dùng chậm lag các kiểu bán thông_tin khách_hàng cho bọn lừa_đảo nhằm chiếm_đoạt tài_sản,"April 30, 2024",0
ok,"April 30, 2024",1
tốt,"April 30, 2024",1
rất tuyệt,"April 30, 2024",1
tuyệt_vời,"April 30, 2024",1
khi thanh_toán trực_tuyến bị lỗi tài_khoản bị trừ tiền không hoàn tiền lại cho khách_hàng,"April 30, 2024",0
nn,"April 30, 2024",1
tốt,"April 30, 2024",1
bao mat tot,"April 30, 2024",1
tốt,"April 30, 2024",1
ok,"April 30, 2024",1
ok dùng rất tốt,"April 30, 2024",1
sử_dụng momo năm rồi mà bây_giờ phải bỏ thật là hối_tiếc momo quá tệ để cho người sử_dụng bị lừa_đảo như_vậy thật quá tiếc cho tiền_đồ của momo tạm_biệt,"April 30, 2024",0
rất tốt,"April 30, 2024",1
có đói lắm không nạp tiền gửi cái mã bắt chờ,"April 30, 2024",1
tốt,"April 30, 2024",1
chuyển_khoản mất phí khủng_khiếp tốt nhất xoá app không dùng,"April 30, 2024",0
sao,"April 30, 2024",1
cảm_ơn bạn,"April 30, 2024",1
ok,"April 30, 2024",1
rất tốt,"April 30, 2024",1
ok,"April 30, 2024",1
có mỗi cái giao_dịch mà xử_lý mãi không cứ nói sẽ xử_lý trong rồi chờ đến khi nào,"April 30, 2024",0
tuyệt_vời,"April 30, 2024",1
có người chuyển tiền đến mà không nhận được xứng_đáng bị phê như này,"April 30, 2024",0
ok,"April 30, 2024",1
ứng_dụng không tốt lắm,"April 30, 2024",0
hhsu,"April 30, 2024",1
ok,"April 30, 2024",1
ok tốt,"April 30, 2024",1
tôi rất thích dùng momo,"April 30, 2024",1
ok,"April 30, 2024",1
rất tốt,"April 30, 2024",1
tốt,"April 30, 2024",1
ok,"April 30, 2024",1
ok,"April 30, 2024",1
rất ok,"April 30, 2024",1
dịch_vụ khá ổn,"April 30, 2024",1
tôi rất thích mono,"April 30, 2024",1
rất ok,"April 30, 2024",1
áp bị đối_tượng gian_lận lừa_đảo tự thanh_toán hoá_đơn người dùng đề_nghị momo xem_lại thật tệ_hại,"April 30, 2024",0
chuẩn,"April 30, 2024",1
ok,"April 30, 2024",1
tot,"April 30, 2024",1
rất hoàn_hảo và nhánh chống duyệt,"April 30, 2024",1
app lỗi cskh thì quá kém người ta chuyển cả chục triệu về ngân_hàng mà bị lỗi giam tiền lỗi phát_sinh từ mà kêu đợi qua mùng giam tiền của khách đúng tuần chưa biết có giải_quyết được hay không nữa,"April 30, 2024",0
ứng_dụng rất hay,"April 30, 2024",1
ok,"April 30, 2024",1
khá là ok,"April 30, 2024",1
ok,"April 30, 2024",1
ok,"April 30, 2024",1
ko biết ghi gì,"April 30, 2024",1
chuyển tiền từ ngân_hàng vào ví momo qua mã qr đa_năng mà tiền không vào được còn mất luôn negative,"April 30, 2024",0
hai_long,"April 30, 2024",1
không có mã giảm,"April 30, 2024",0
rồi khi nào hết lỗi để tao còn rút_tiền về ngân_hàng,"April 30, 2024",0
ứng_dụng rất tốt,"April 30, 2024",1
ok,"April 30, 2024",1
nhanh mượt,"April 30, 2024",1
rat ok thuận tiện và nhanh_chóng,"April 30, 2024",1
rút_tiền từ nh về momo chỉ cần vào app nhập số tiền rồi nhập mã pin rút chứ chả còn cần xác_thực từ ngân_hàng nữa làm_vậy chả bảo_mật positive,"April 30, 2024",0
nói_chung là ok,"April 30, 2024",1
positive positive positive,"April 29, 2024",1
rất ok,"April 29, 2024",1
ok,"April 29, 2024",1
người ta chuyển tiền vào ví thì không nhận được giờ bắt đợi riết momo quá tệ,"April 29, 2024",1
ok,"April 29, 2024",1
tuyê vơ cho như ng ai sư du ng,"April 29, 2024",1
hay,"April 29, 2024",1
rất tốt,"April 29, 2024",1
rất tốt,"April 29, 2024",1
ok,"April 29, 2024",1
vào toàn để app bị lỗi trong quá_trình xử_lý xoá đi tải lại vẫn không vào được,"April 29, 2024",0
tốt,"April 29, 2024",1
ok,"April 29, 2024",1
ok,"April 29, 2024",1
quá uy_tín,"April 29, 2024",1
ok,"April 29, 2024",1
tôi thấy ứng_dụng này rất tiện_lợi,"April 29, 2024",1
quá tuyệt_vời và tiện_lợi,"April 29, 2024",1
tốt,"April 29, 2024",1
lag vail,"April 29, 2024",0
đm app như đb negative chuyển tiền như ccc mẹ app,"April 29, 2024",0
tuyệt_vời,"April 29, 2024",1
tốt,"April 29, 2024",1
ok,"April 29, 2024",1
momo bắt cặp nhật phiên_bản mới hoài,"April 29, 2024",0
ok,"April 29, 2024",1
cần hỗ_trợ thanh_toán,"April 29, 2024",0
tuyệt_vời,"April 29, 2024",1
rất hài_lòng với sản_phẩm positive sao sao sao sao,"April 29, 2024",1
hiện_tại xài ok nha,"April 29, 2024",1
tuyệt_vời,"April 29, 2024",1
ok,"April 29, 2024",1
tuyệt_vời,"April 29, 2024",1
dịch_vụ tốt,"April 29, 2024",1
tốt,"April 29, 2024",1
không được hưởng vô chờ nào cả,"April 29, 2024",1
xài ok,"April 29, 2024",1
rất hài_lòng,"April 29, 2024",1
ok,"April 29, 2024",0
mẹ chán thật chứ cái qr đa_năng bị lỗi hay gì vậy nãy đưa người khác quét chuyển tiền bên kia bị trừ tiền còn bên đây tiền không thấy về phải lấy tiền mình bù qua cho người ta ăn_cướp vừa thôi chứ,"April 29, 2024",0
ok,"April 29, 2024",1
tụi mày làm_ăn như cc,"April 29, 2024",0
rất xàm lờ,"April 29, 2024",0
như cc,"April 29, 2024",0
lỗi rất nhiều và nhắn_tin hỗ_trợ thì trả_lời qua_loa,"April 29, 2024",0
lỗi không thanh_toán được positive,"April 29, 2024",0
ok,"April 29, 2024",1
tốt ok,"April 29, 2024",1
thật thất_vọng ap momo này mình vào để đăng_kí mạng hết một đống tiền song một ngày chả dùng được bao_nhiêu mạng ngày,"April 29, 2024",0
rất tốt,"April 29, 2024",1
ok,"April 29, 2024",1
quá tệ tự_động liên_kết với apple cửa_hàng và trừ tiền khách_hàng không có hướng giải_quyết dứt_điểm đẩy rủi_ro trách_nhiệm hoàn_toàn về phía khách_hàng mọi người lưu_ý cẩn_thận để mất tiền oan momo hay tự_động liên_kết với apple cửa_hàng và google play để trừ tiền tự_động mặc_dù mình xài samsung mình không có tk apple và ngược_lại,"April 29, 2024",0
tuyệt_vời,"April 29, 2024",1
tuyệt_vời,"April 29, 2024",1
tốt,"April 29, 2024",0
má tự_nhiên trừ tiền trong tk tao là sao sv,"April 29, 2024",0
rat tot,"April 29, 2024",1
very tốt,"April 29, 2024",1
tốt,"April 29, 2024",1
tốt,"April 29, 2024",1
ok,"April 29, 2024",1
rất tốt,"April 29, 2024",1
kh liên_kết được mb bank,"April 29, 2024",0
rất ok,"April 29, 2024",1
chưa có sự đồng_ý của mình mà ví tự rút_tiền từ tài_khoản ngân_hàng của mình ra để trừ tiền app rất tệ,"April 29, 2024",0
rất hài_lòng,"April 29, 2024",1
rất tốt,"April 29, 2024",1
ví trả sau phí tháng quá đắt,"April 29, 2024",0
trông giao_diện momo như cờ_bạc như mí thằng quảng_cáo game cờ_bạc zị khum biết có chung đứa làm marketing khum chứ thí giống lắm positive mứi cho bạn để xem nó hoàn được nhiu positive khi nào nó hoàn vô sửa đánh_giá không hoàn thì đánh_giá để nguyên positive,"April 29, 2024",0
app như đb suốt ngày lag,"April 29, 2024",0
rất ok,"April 29, 2024",1
quá tốt,"April 29, 2024",1
ok,"April 29, 2024",1
cho hỏi tý gần đây từ bị trừ tiền vnđ vào tài khoảng momo là tiền gì vậy làm_ơn nói rõ dùm nha trước giờ chưa bao_giờ có tính_trạng này cả mọi th gần đây,"April 29, 2024",0
tốt,"April 29, 2024",1
đổi máy xin cái mã để xác_minh để vào lại cũng không được làm_ăn thua cả cái bọn scammer,"April 29, 2024",0
sao,"April 29, 2024",1
được,"April 29, 2024",1
tốt,"April 29, 2024",1
app chuẩn,"April 29, 2024",1
ok,"April 28, 2024",1
ok,"April 28, 2024",1
tuyệt_vời,"April 28, 2024",1
sài quá tôt,"April 28, 2024",1
tuyệt,"April 28, 2024",1
tuyệt_vời positive,"April 28, 2024",1
tiện_lợi,"April 28, 2024",1
ok,"April 28, 2024",1
tốt,"April 28, 2024",1
nhanh gọn lẹ ok,"April 28, 2024",1
ok,"April 28, 2024",1
rất tốt,"April 28, 2024",1
tốt,"April 28, 2024",1
cập_nhật xog lag không đăng_nhập vào cay vãi ra,"April 28, 2024",0
ok,"April 28, 2024",1
rất tốt,"April 28, 2024",1
hay,"April 28, 2024",1
tuyệt_vời,"April 28, 2024",1
ok,"April 28, 2024",1
tốt,"April 28, 2024",1
kết_nối đến ngân_hàng liên_kết bidv và tpbank cực_kỳ tệ app không còn là một công_cụ thanh_toán đơn_thuần rất rất nhiều lỗi,"April 28, 2024",0
ứng_dụng đánh để sử_dụng,"April 28, 2024",1
ok,"April 28, 2024",1
rất hài_lòng với momo,"April 28, 2024",1
ok,"April 28, 2024",1
tốt,"April 28, 2024",1
râ ok,"April 28, 2024",0
ứng_dụng thật tuyệt,"April 28, 2024",1
tuyệt_vời,"April 28, 2024",1
tôt quâ,"April 28, 2024",1
tốt,"April 28, 2024",1
momo thì ok rồi,"April 28, 2024",1
momo loi rồi,"April 28, 2024",1
tot,"April 28, 2024",1
tốt,"April 28, 2024",1
sản đa,"April 28, 2024",1
quá ok,"April 28, 2024",1
,"April 28, 2024",1
quá tệ load chậm cứ quay_vòng suất không xem được lịch_sử giao_dịch,"April 28, 2024",0
tốt,"April 28, 2024",1
ok,"April 28, 2024",1
rất tiện_lợi chuyển tiền nhanh,"April 28, 2024",1
tốt,"April 28, 2024",1
rất ok,"April 28, 2024",1
dịch_vụ ok,"April 28, 2024",1
nhanh gọn,"April 28, 2024",1
sao mình không chuyển_khoản vô game được,"April 28, 2024",1
chuẩn,"April 28, 2024",1
ok,"April 28, 2024",1
tiện_lợi quá ok,"April 28, 2024",1
positive positive positive,"April 28, 2024",1
momo nạp được chưa,"April 28, 2024",1
dịch_vụ ok tạm ổn rất thích_hợp để thực_hiện giao_dịch nhanh_chóng và tiện_lợi điểm,"April 28, 2024",1
ổn,"April 28, 2024",1
rất tốt,"April 28, 2024",1
nhanh,"April 28, 2024",1
ok,"April 28, 2024",1
tốt,"April 28, 2024",1
app hay tiện_lợi giao_dịch thanh_toán,"April 28, 2024",1
oko lắm,"April 28, 2024",1
tốt,"April 28, 2024",1
rất tiện_lợi,"April 28, 2024",1
hay,"April 28, 2024",1
tốt,"April 28, 2024",1
ok,"April 28, 2024",1
hay,"April 28, 2024",0
hay,"April 28, 2024",1
tuyệt_vời,"April 28, 2024",1
ok,"April 28, 2024",1
tuyệt_vời và tiện_lợi positive positive positive,"April 28, 2024",1
rất tốt nha,"April 28, 2024",1
quá tồi_tệ,"April 28, 2024",0
quá tốt mn nên trải_nghiệm,"April 28, 2024",1
tệ xử_lý chậm,"April 28, 2024",0
như negative nạp tiền về ngân_hàng thì cứ load quài,"April 28, 2024",0
tại_sao số dự của tôi đủ những khi thanh_toán lại không được đã vậy bị trừ tiền và để là đang sử lý phần trợ_giúp thì chả có tác_dụng gì,"April 28, 2024",0
tốt,"April 28, 2024",1
rất hài_lòng,"April 28, 2024",1
ứng_dụng tốt,"April 28, 2024",1
app quá tệ xứng_đáng sao,"April 28, 2024",0
tốt tiện_lợi,"April 28, 2024",1
ok,"April 28, 2024",1
thanh_toán ok,"April 28, 2024",1
ok,"April 28, 2024",1
ứng_dụng rất tiện_lợi và hữu_ích,"April 28, 2024",1
quá ok,"April 28, 2024",1
ứng_dụng chuyển và nhận tiền nhanh_chóng tiện_lợi,"April 28, 2024",1
qua duoc,"April 28, 2024",1
ok,"April 28, 2024",1
ứng_dụng ok,"April 28, 2024",1
ứng_dụng tiện_lợi,"April 28, 2024",1
ok,"April 28, 2024",1
ok,"April 28, 2024",1
tốt,"April 28, 2024",1
hay,"April 28, 2024",1
rất tốt,"April 28, 2024",1
tốt,"April 28, 2024",1
hehe,"April 28, 2024",1
mô mô tuyệt_vời,"April 28, 2024",1
ok,"April 28, 2024",1
rất_chi_là ok,"April 28, 2024",1
ok lam ae,"April 28, 2024",1
ok,"April 27, 2024",1
dở_ẹc,"April 27, 2024",0
ok,"April 27, 2024",1
tốt,"April 27, 2024",1
tuyệt_vời,"April 27, 2024",1
ok,"April 27, 2024",1
tuyệt vowid,"April 27, 2024",1
cần nhiều ưu_đãi thiết_thực hơn,"April 27, 2024",1
ôk,"April 27, 2024",1
ok chuẩn nhanh,"April 27, 2024",1
ok cần cấp vi trả sau,"April 27, 2024",1
tốt,"April 27, 2024",1
tôt,"April 27, 2024",0
kđược do,"April 27, 2024",1
tốt,"April 27, 2024",1
tốt,"April 27, 2024",1
được xếp_hạng,"April 27, 2024",0
rat la tốt doi voi tui do nha,"April 27, 2024",1
tuyệt_vời,"April 27, 2024",1
ok lam nha,"April 27, 2024",1
tot,"April 27, 2024",1
chỉ em đánh clmm ăn đi momo,"April 27, 2024",1
nice app,"April 27, 2024",1
chậm thanh_toán nó phạt chục app mất dậy nhất trong các thể_loại ví,"April 27, 2024",0
hai mãi dĩnh ok,"April 27, 2024",1
tot,"April 27, 2024",1
tuyệt_vời,"April 27, 2024",1
tiện_lợi phết,"April 27, 2024",1
nhanh gon le,"April 27, 2024",0
rất tốt và hiệu_quả cao,"April 27, 2024",1
ok,"April 27, 2024",1
ok,"April 27, 2024",1
hay quá ae,"April 27, 2024",1
momo tốt positive positive positive positive,"April 27, 2024",1
nhiều lúc lag chuyển mất cmn tiền nhất_là lúc_lắc xì đợt tết,"April 27, 2024",1
ok,"April 27, 2024",0
ok,"April 27, 2024",1
ok vip,"April 27, 2024",1
ứng_dụng hay tốt,"April 27, 2024",1
ok,"April 27, 2024",1
ổn,"April 27, 2024",1
tốt,"April 27, 2024",1
khá lag,"April 27, 2024",1
giao_dịch nhanh_chóng và thuận_tiện tuy_nhiên việc thu phí hạn_mức giao còn thấp và chưa liên được đầy_đủ các công_ty bhnt tại vn,"April 27, 2024",1
