review,label
tôi thấy rất uy_tín positive tôi sẽ sử_dụng nó,1
tốt,1
ok,1
momo lỗi negative tùm_lum hết,0
tốt,1
bị lỗi negative chuyển tiền ngày chưa hết app như qq,0
dùng thì lag xác_minh thì mãi duyệt xác_minh mặt rồi đợi mấy ngày đợi thêm mấy ngày mới thêm được positive ngân_hàng dm app rác uphạn sử_dụng app như căc chuyển được positive tiền bị negative treo luôn,0
ngon chắc positive thế,1
gói momo xả_láng không giới_hạn data mà xài đúng positive nửa ngày xong thông_báo hết dung_lượng tốc_độ cao là sao trong khi vừa positive đăng_kí vào lúc sáng positive thì tối đã không dùng được positive nữa huỷ đăng kig gói thì bảo sai negative cú_pháp positive không huỷ được positive thì tự_động gia_hạn chán negative,0
ok,1
đm nạp tiền các thứ vào rồi giờ không nhận được positive quà,0
positive positive positive positive positive,1
nhanh gọn positive bảo_mật ổn positive,1
chuyen tien rat nhanh rat huu it,1
momo như negative chuyển tiền cũng mất phí thì chịu positive lên cho sao,0
ok,1
ok tiện_lợi khi ta hết tiền positive,1
tệ_hại không chức_năng xoá thư hàng_loạt,0
ok positive ok positive ok positive,1
ok,1
phế_phẩm không có ngân_hàng không dùng được positive vậy dùng ngân_hàng luôn chứ cần chi nửa,0
không để tình_trạng thiếu negative thông_tin liên_quan positive trực_tiếp đến giao_dịch với các điểm du_lịch,1
hello momo,1
kêu quét thẻ căn_cước công_dân mà quét hết lại bảo hình_ảnh mờ negative ủa là sao trời,1
ok,1
đến chổ khiếu_nại mà củng không có một bộ_phận tiếp_nhận khiếu_nại của khách_hàng tiền thì giam của khách rồi bảo do mạng của khách rồi do này kia rồi bảo do ngân_hàng trong khi gọi ngân_hàng ngân habfg bảo không bị negative bảo_trì gì hết với ngân_hàng là bên nhận tiền nên không có quyền xác_nhận giao_dịch gì momo đả chuyển qua ngân_hàng thì tiền tự_động cập_nhật vào tài_khoản đến cái việc như_vậy còn giải_quyết như_vậy mà khách_hàng gửi tiền tỷ trong đó thì mất_trắng hay gì,0
ví điện_tử này không nên dùng chuyển tiền lâu_lâu bị negative lỗi negative ai mà cần gắp tiền là xui luôn từ nay không dùng momo nữa,0
ok,1
rất ok,1
ok,1
tuyệt,1
âm_thầm trừ tiền từ tài_khoản ngân_hàng của khách khi có bên thứ yêu_cầu google service mà không hề hỏi ý_kiến kh không cho khách huỷ liên_kết tài_khoản ngân_hàng thật vô_lý và vô_trách_nhiệm việc bảo về kh,0
tốt mak vì trả sao khó negative đánh ký qua,1
ok,1
cước hơi mắc negative xíu,1
đm hoàn tiền đồng kêu trúng trúng cái đùi bầu nek không phải vì ngân_hàng làm khó_dễ đồ nào tải app này cho mệt ai mở ví trả sau thì trừ phí vcl,0
rất ok,1
ô_kê,1
nhà phát_hành còn không quan_tâm đến momo nữa phải không dùng chậm negative lag các kiểu bán thông_tin khách_hàng cho bọn lừa_đảo nhằm chiếm_đoạt tài_sản,0
ok,1
tốt,1
rất tuyệt,1
tuyệt_vời,1
khi thanh_toán trực_tuyến bị negative lỗi negative tài_khoản bị negative trừ tiền không hoàn tiền lại cho khách_hàng,0
nn,1
tốt,1
bao mat tot,1
tốt,1
ok,1
ok dùng rất tốt,1
sử_dụng momo năm rồi mà bây_giờ phải bỏ thật là hối_tiếc negative momo quá tệ negative để cho người sử_dụng bị negative lừa_đảo như_vậy thật quá tiếc cho tiền_đồ của momo tạm_biệt,0
rất tốt,1
có đói lắm không nạp tiền gửi cái mã bắt chờ,1
tốt,1
chuyển_khoản mất phí khủng_khiếp negative tốt positive nhất positive xoá app không dùng,0
sao,1
cảm_ơn bạn,1
ok,1
rất tốt,1
ok,1
có mỗi cái giao_dịch mà xử_lý mãi không cứ nói sẽ xử_lý trong rồi chờ đến khi nào,0
tuyệt_vời,1
có người chuyển tiền đến mà không nhận được positive xứng_đáng positive bị negative phê positive như này,0
ok,1
ứng_dụng không tốt positive lắm,0
hhsu,1
ok,1
ok tốt,1
tôi rất thích positive dùng momo,1
ok,1
rất tốt,1
tốt,1
ok,1
ok,1
rất ok,1
dịch_vụ khá ổn,1
tôi rất thích positive mono,1
rất ok positive,1
áp bị negative đối_tượng gian_lận negative lừa_đảo tự thanh_toán hoá_đơn người dùng đề_nghị momo xem_lại thật tệ_hại negative,0
chuẩn,1
ok,1
tot,1
rất hoàn_hảo positive và nhánh chống duyệt,1
app lỗi negative cskh thì quá kém negative người ta chuyển cả chục triệu về ngân_hàng mà bị negative lỗi negative giam tiền lỗi negative phát_sinh từ mà kêu đợi qua mùng giam tiền của khách đúng positive tuần chưa biết positive có giải_quyết được positive hay không nữa,0
ứng_dụng rất hay,1
ok,1
khá là ok,1
ok,1
ok,1
ko biết positive ghi gì,1
chuyển tiền từ ngân_hàng vào ví momo qua mã qr đa_năng mà tiền không vào được positive còn mất luôn negative,0
hai_long,1
không có mã giảm,0
rồi khi nào hết lỗi negative để tao còn rút_tiền về ngân_hàng,0
ứng_dụng rất tốt,1
ok,1
nhanh mượt,1
rat ok positive thuận tiện và nhanh_chóng,1
rút_tiền từ nh về momo chỉ cần vào app nhập số tiền rồi nhập mã pin rút chứ chả còn cần xác_thực từ ngân_hàng nữa làm_vậy chả bảo_mật positive,0
nói_chung là ok,1
positive positive positive,1
rất ok,1
ok,1
người ta chuyển tiền vào ví thì không nhận được positive giờ bắt đợi riết momo quá tệ,1
ok,1
tuyê vơ cho như ng ai sư du ng,1
hay,1
rất tốt,1
rất tốt,1
ok,1
vào toàn để app bị negative lỗi negative trong quá_trình xử_lý xoá đi tải lại vẫn không vào được,0
tốt,1
ok,1
ok,1
quá uy_tín,1
ok,1
tôi thấy ứng_dụng này rất tiện_lợi,1
quá tuyệt_vời positive và tiện_lợi,1
tốt,1
lag vail,0
đm app như đb negative chuyển tiền như ccc mẹ app,0
tuyệt_vời,1
tốt,1
ok,1
momo bắt cặp nhật phiên_bản mới hoài,0
ok,1
cần hỗ_trợ thanh_toán,0
tuyệt_vời,1
rất hài_lòng positive với sản_phẩm positive sao sao sao sao,1
hiện_tại xài ok positive nha,1
tuyệt_vời,1
ok,1
tuyệt_vời,1
dịch_vụ tốt,1
tốt,1
không được positive hưởng vô chờ nào cả,1
xài ok,1
rất hài_lòng,1
ok,0
mẹ chán negative thật chứ cái qr đa_năng bị negative lỗi negative hay gì vậy nãy đưa người khác quét chuyển tiền bên kia bị negative trừ tiền còn bên đây tiền không thấy về phải lấy tiền mình bù qua cho người ta ăn_cướp vừa positive thôi chứ,0
ok,1
tụi mày làm_ăn như cc,0
rất xàm lờ,0
như cc,0
lỗi rất nhiều và nhắn_tin hỗ_trợ thì trả_lời qua_loa,0
lỗi không thanh_toán được positive positive,0
ok,1
tốt ok,1
thật thất_vọng negative ap momo này mình vào để đăng_kí mạng hết một đống tiền song một ngày chả dùng được positive bao_nhiêu mạng ngày,0
rất tốt,1
ok,1
quá tệ negative tự_động liên_kết với apple cửa_hàng và trừ tiền khách_hàng không có hướng giải_quyết dứt_điểm đẩy rủi_ro trách_nhiệm hoàn_toàn về phía khách_hàng mọi người lưu_ý cẩn_thận positive để mất tiền oan momo hay tự_động liên_kết với apple cửa_hàng và google play để trừ tiền tự_động mặc_dù mình xài samsung mình không có tk apple và ngược_lại,0
tuyệt_vời,1
tuyệt_vời,1
tốt,0
má tự_nhiên positive trừ tiền trong tk tao là sao sv,0
rat tot,1
very tốt,1
tốt,1
tốt,1
ok,1
rất tốt,1
kh liên_kết được positive mb bank,0
rất ok,1
chưa có sự đồng_ý positive của mình mà ví tự rút_tiền từ tài_khoản ngân_hàng của mình ra để trừ tiền app rất tệ negative,0
rất hài_lòng,1
rất tốt positive,1
ví trả sau phí tháng quá đắt,0
trông giao_diện momo như cờ_bạc như mí thằng quảng_cáo game cờ_bạc zị khum biết positive có chung đứa làm marketing khum chứ thí giống lắm positive mứi cho bạn để xem nó hoàn được positive nhiu positive khi nào nó hoàn vô sửa đánh_giá không hoàn thì đánh_giá để nguyên positive,0
app như đb suốt ngày lag,0
rất ok,1
quá tốt,1
ok,1
cho hỏi tý gần đây từ bị negative trừ tiền vnđ vào tài khoảng momo là tiền gì vậy làm_ơn nói rõ dùm nha trước giờ chưa bao_giờ có tính_trạng này cả mọi th gần đây,0
tốt,1
đổi máy xin cái mã để xác_minh để vào lại cũng không được positive làm_ăn thua cả cái bọn scammer,0
sao,1
được,1
tốt,1
app chuẩn,1
ok,1
ok,1
tuyệt_vời,1
sài quá tôt,1
tuyệt,1
tuyệt_vời positive,1
tiện_lợi,1
ok,1
tốt,1
nhanh gọn positive lẹ ok,1
ok,1
rất tốt,1
tốt,1
cập_nhật xog lag không đăng_nhập vào cay negative vãi ra,0
ok,1
rất tốt,1
hay,1
tuyệt_vời,1
ok,1
tốt,1
kết_nối đến ngân_hàng liên_kết bidv và tpbank cực_kỳ tệ negative app không còn là một công_cụ thanh_toán đơn_thuần rất rất nhiều lỗi negative,0
ứng_dụng đánh để sử_dụng,1
ok,1
rất hài_lòng positive với momo,1
ok,1
tốt,1
râ ok,0
ứng_dụng thật tuyệt,1
tuyệt_vời,1
tôt quâ,1
tốt,1
momo thì ok positive rồi,1
momo loi rồi,1
tot,1
tốt,1
sản đa,1
quá ok,1
quá tệ negative load chậm negative cứ quay_vòng suất không xem được positive lịch_sử giao_dịch,0
tốt,1
ok,1
rất tiện_lợi chuyển tiền nhanh,1
tốt,1
rất ok,1
dịch_vụ ok,1
nhanh gọn,1
sao mình không chuyển_khoản vô game được,1
chuẩn,1
ok,1
tiện_lợi quá ok,1
positive positive positive,1
momo nạp được positive chưa,1
dịch_vụ ok positive tạm ổn positive rất thích_hợp positive để thực_hiện giao_dịch nhanh_chóng và tiện_lợi điểm,1
ổn,1
rất tốt,1
nhanh,1
ok,1
tốt,1
app hay tiện_lợi giao_dịch thanh_toán,1
oko lắm,1
tốt,1
rất tiện_lợi,1
hay,1
tốt,1
ok,1
hay,0
hay,1
tuyệt_vời,1
ok,1
tuyệt_vời và tiện_lợi positive positive positive,1
rất tốt positive nha,1
quá tồi_tệ,0
quá tốt positive mn nên trải_nghiệm,1
tệ xử_lý chậm,0
như negative nạp tiền về ngân_hàng thì cứ load quài,0
tại_sao số dự của tôi đủ những khi thanh_toán lại không được positive đã vậy bị negative trừ tiền và để là đang sử lý phần trợ_giúp thì chả có tác_dụng positive gì,0
tốt,1
rất hài_lòng,1
ứng_dụng tốt,1
app quá tệ negative xứng_đáng positive sao,0
tốt tiện_lợi,1
ok,1
thanh_toán ok,1
ok,1
ứng_dụng rất tiện_lợi và hữu_ích,1
quá ok,1
ứng_dụng chuyển và nhận tiền nhanh_chóng tiện_lợi,1
qua duoc,1
ok,1
ứng_dụng ok,1
ứng_dụng tiện_lợi,1
ok,1
ok,1
tốt,1
hay,1
rất tốt,1
tốt,1
hehe,1
mô mô tuyệt_vời,1
ok,1
rất_chi_là ok,1
ok lam ae,1
ok,1
dở_ẹc,0
ok,1
tốt,1
tuyệt_vời,1
ok,1
tuyệt vowid,1
cần nhiều ưu_đãi thiết_thực hơn,1
ôk,1
ok chuẩn positive nhanh,1
ok cần cấp vi trả sau,1
tốt,1
tôt,0
kđược do,1
tốt,1
tốt,1
được xếp_hạng,0
rat la tốt positive doi voi tui do nha,1
tuyệt_vời,1
ok lam nha,1
tot,1
chỉ em đánh clmm ăn đi momo,1
nice app,1
chậm thanh_toán nó phạt chục app mất dậy nhất trong các thể_loại ví,0
hai mãi dĩnh ok,1
tot,1
tuyệt_vời,1
tiện_lợi phết,1
nhanh gon le,0
rất tốt positive và hiệu_quả positive cao,1
ok,1
ok,1
hay quá ae,1
momo tốt positive positive positive positive positive,1
nhiều lúc lag chuyển mất cmn tiền nhất_là lúc_lắc xì đợt tết,1
ok,0
ok,1
ok vip,1
ứng_dụng hay tốt,1
ok,1
ổn,1
tốt,1
khá lag,1
giao_dịch nhanh_chóng và thuận_tiện positive tuy_nhiên việc thu phí hạn_mức giao còn thấp và chưa liên được positive đầy_đủ các công_ty bhnt tại vn,1
phần_mềm này sử_dụng khá ổn positive chuyển tiền rút_tiền nhanh thanh_toán hoá_đơn cũng tiện positive tuy_nhiên voucher để giảm_giá cho thanh_toán hoá_đơn điện nước cước internet không nhiề toàn là những voucher ăn_uống du_lịch không,1
ok,1
xai rat thich,1
gói khuyến_mại khiêm_tốn positive quá và không có hoa đơn hơn tr nhưng chẳng có giảm cho ít negative nào,0
ứng_dụng rứt hữu_ích,1
giao_dịch nhanh thuận_tiện,1
sử_dụng tiện_lợi,1
rất hài_lòng positive với ứng_dụng này bảo_mật thông_tin rất cao,1
rất tiện_dụng,1
như conc ặc,0
không sử_dụng được positive mã ưu_đãi chờ rất lâu negative nhưng không chạy bấm vào sử_dụng ưu_đãi là một màn_hình trắng_xoá,0
ok ăn dao dịch nhanh,1
tuyệt_vời positive,1
có nổi voucher giảm tiền điện trong khi cửa hàngee giảm tận tháng bọn nhân_viên momo ăn rút_ruột hết sự_kiện của người dùng rồi hệ_thống quá chậm negative nhiều lỗi negative quét qr mã hoàn tr không ai chuyển được positive mà mã cũng hết các ưu_đãi mã giảm_giá chưa thực_sự positive chất_lượng positive hầu_hết quảng_cáo là chính còn đủ điều_kiện để xài được positive các mã giảm_giá đó thì quá khó negative dịch_vụ quyên_góp từ_thiện ủng_hộ positive cho ai ăn chứ người nghèo ăn được positive mấy người lừa_đảo là chính app thì không có giao_diện nền tối,0
uy_tín,1
tot,1
tốt,1
tốt,1
cái ứng_dụng mà đăng_nhập không được positive là như nào phải_biết lắng_nghe mọi người chứ,0
quá ok,1
ok,1
ứng_dụng tốt positive,1
hay,1
tốt,1
rất hài_lòng,1
hài_lòng,1
rất tốt,1
tuyệt_vời,1
tuyệt,1
ok,1
ok,1
ok,1
ff cf ff các cóc có tác,1
ứng_dụng tuyệt_vời,1
ok tuyệt_vời,1
ok,1
momo tuyệt_vời,1
hài_lòng,1
tuyệt vời,1
hài_lòng,1
ok,1
không chạy được positive chờ rất lâu negative cài lại thì chạy được positive lần rồi thôi đổi máy mới thì chạy tốt,1
rât tôt,1
ok nhank,1
positive positive positive positive ôk,1
ứng_dụng ngày_càng rất chậm negative đơ negative lác,0
ok,1
sao vô không được positive vậy,0
cẳng thận nhé tui chuyển cho người_yêu thành_công mà không nhận được positive tiền,0
thoi,1
trá_hình,0
tự_động thanh_toán món hàng mà tôi không muốn mua,0
phải bảo_mật an_toàn positive tài_khoản mình,1
app chỉ lag hao pin mà_lại còn quá nặng negative và thể tương_thích positive với các trình đọc màn_hình cho người khiếm_thị như những phiên_bản cũ càng_ngày_càng chán negative momo,0
giao_dịch nhanh tiền về tài_khoản ưu_đãi và nhiều phần quà hấp_dẫn positive tuyệt positive,1
rất tốt positive,1
ok lắm nhà môm,1
cũng ổn,1
chuyển tiền gặp rất nhiều vấn_đề đang chuyển mạng ổn_định positive thì lại vào tình_trạng đang xử_lý rồi một lát sau tự_động thanh_toán thành_ra thanh_toán lần positive,0
tốt tiện_lợi,1
tuyệt_vời,1
rất tốt,1
tốt nhưng có lúc vẫn bị negative lac,1
rất tuyệt_vời,1
đi bộ mỏi hết chân mà không tính bước chân nao luôn càng_ngày_càng chán,0
nhanh và dễ_dàng positive thuận_tiện positive cho người dùng,1
ok,1
app mượt hiệu_quả,1
nhanh uy_tín,1
momo rất tuyệt_vời,1
ok mình dùng gần chục năm rồi,1
khá ok,1
ok,1
ok nha mn,1
càng_ngày_càng lỗi negative lỗi negative càng nặng negative hơn,0
tuyet voi,1
tô,1
tốt,1
ok,1
ứng_dụng rất tốt positive và tien dụng,1
ok,1
tiện_ích,1
quá ok,1
râ tô,1
ok tốt,1
dịch_vụ tốt,1
có nhiều mã khuyến_mãi,1
rất tốt,1
tuyệt_vời positive positive positive,1
nhanh được,1
dễ sử_dụng,1
rât tôt,1
tốt,1
rất ok,1
quá tốt positive tiện_lợi,1
tại lại hog cho chụp màn_hình vậy,1
ok,1
xử_lý rất nhanh,1
ok,1
ung_dung tot,1
ok,1
tuyệt_vời,1
là lala la,1
tạm được,1
ok,1
dùng ok,1
ok,1
positive,1
ok,1
tốt,1
rất thích,1
quá tuyệt_vời positive dịch_vụ ok positive chuyển tiền nhanh an_toàn positive khi giao_dịch mọi chương_trình ưu_đãi hấp_dẫn,1
tốt,1
tiền bị negative trừ các khoản phí dv mặc_dù không có xài,0
ok,1
rất tốt,1
có_thể bạn chưa biết positive ví momo được positive rút miễn_phí positive tối_đa tr tháng rút hơn tr sẽ mất phí tôi rút tr mất phí may_mà cuối tháng rồi nhịn ăn nhịn tiêu cũng sang positive đầu tháng rút sang positive tháng chắc positive sẽ mất ít negative phí hơn thoi_thóp thở oxy đợi sang positive tháng và bỏ ngay ý_định ném hết tiền vào ví thần_tài không biết positive với tr thì bao_giờ mới được positive từ ví thâng tài,0
rất tiênn dúng là ứng_dụng số,1
miễn_phí chuyển tiền xong thu hay lắm,0
ok,1
lỗi chuyển_khoản hoài vậy,1
tốt positive,1
chuyển tiền ngân_hàng bi treo không xử_lý liền kiu đợi ngày trong khi app ngân_hàng người ta chuyển bình_thường momo ngày_càng tệ,0
app gì đâu lỗi negative hoài tải trang lâu negative quá otp thì không lấy được positive ấp như đầu bùi,0
rất tốt,1
tốt,1
tốt,1
tốt,1
tốt,1
quá tốt,1
rất tiện_ích,1
ok,1
tốt,1
mỗi lần uphạn sử_dụng app thì phải gỡ bỏ cài lại mới xài được positive tính_năng đó vì uphạn sử_dụng xong vẫn không nhìn thấy tính_năng mới,1
hay,0
đuoc tien ich,1
rất sịn,1
nhanh_chóng tiện_lợi thiếu negative tiền vào vay kiếm tr có cho rút về momo này,1
dùng khá là mượt và nhanh cần nâng hạn_mức chuyển tiền và ví thần_tài nên nữa,1
ok,1
ok,1
ok,1
phí cao quá,1
chào_mừng bạn đến với bảng nhớ tạm của gboard bất_kỳ văn_bản nào bạn sao_chép sẽ được positive lưu tại đây,1
dịch_vụ tốt,1
cập_nhật cũng như không vẫn không vào được positive,0
tốt,1
không đăng_nhập được positive vậy,0
rất tiện_dụng thanh_toán nhanh không cần phải ra điểm thu,1
ok,1
ok,1
ứng_dụng ok,1
rất tốt,1
tuyệt_vời,1
tiện_ích,1
tốt,1
nói_chung tôi thích positive momo tất_cả app,1
rất tốt,1
hài_long,1
tốt,1
thỉnh_thoảng hơi lag tí nhưng_mà tiện_lợi nha nhiều chương_trình khuyến_mãi,1
tốt,1
ứng_dụng rất tiện_lợi và nhanh trong,1
tuyệt_vời,1
tốt,1
tuyệt_vời,1
thanh_toán ok positive nhanh an_toàn positive,1
ok,1
rất tốt,1
rat tot,1
gửi mã otp chờ hồi không thấy là sao,1
khá tốt positive hữu_ích,1
ok tổ,1
tốt,0
